method,target_rr,split,stage,call_kind,call_kind_name,refresh_count,opportunities,density,refresh_share
lpips_oracle,0.3,test,late,1,corrector,522.0,2688.0,0.19419642857142858,0.09562190877450083
lpips_oracle,0.3,all,early,0,predictor,823.0,3840.0,0.21432291666666667,0.11182065217391304
lpips_oracle,0.3,all,early,1,corrector,3604.0,3840.0,0.9385416666666667,0.48967391304347824
lpips_oracle,0.3,all,middle,0,predictor,9.0,5120.0,0.0017578125,0.0012228260869565218
lpips_oracle,0.3,all,middle,1,corrector,1946.0,5120.0,0.380078125,0.2644021739130435
lpips_oracle,0.3,all,late,0,predictor,269.0,3840.0,0.07005208333333333,0.03654891304347826
lpips_oracle,0.3,all,late,1,corrector,709.0,3584.0,0.19782366071428573,0.09633152173913044
lpips_oracle,0.4,calibration,early,0,predictor,233.0,960.0,0.24270833333333333,0.09194948697711129
lpips_oracle,0.4,calibration,early,1,corrector,952.0,960.0,0.9916666666666667,0.3756906077348066
lpips_oracle,0.4,calibration,middle,0,predictor,4.0,1280.0,0.003125,0.0015785319652722968
lpips_oracle,0.4,calibration,middle,1,corrector,883.0,1280.0,0.68984375,0.3484609313338595
lpips_oracle,0.4,calibration,late,0,predictor,70.0,960.0,0.07291666666666667,0.027624309392265192
lpips_oracle,0.4,calibration,late,1,corrector,392.0,896.0,0.4375,0.15469613259668508
lpips_oracle,0.4,test,early,0,predictor,713.0,2880.0,0.24756944444444445,0.09745762711864407
lpips_oracle,0.4,test,early,1,corrector,2859.0,2880.0,0.9927083333333333,0.39078731547293605
lpips_oracle,0.4,test,middle,0,predictor,7.0,3840.0,0.0018229166666666667,0.0009568069983597594
lpips_oracle,0.4,test,middle,1,corrector,2412.0,3840.0,0.628125,0.3296883542919628
lpips_oracle,0.4,test,late,0,predictor,220.0,2880.0,0.0763888888888889,0.030071077091306724
lpips_oracle,0.4,test,late,1,corrector,1105.0,2688.0,0.41108630952380953,0.1510388190267906
lpips_oracle,0.4,all,early,0,predictor,946.0,3840.0,0.24635416666666668,0.09604060913705584
lpips_oracle,0.4,all,early,1,corrector,3811.0,3840.0,0.9924479166666667,0.3869035532994924
