window_id,stage,start_call,end_call,window_len,valid_count,mean_lpips,median_lpips,q90_lpips,q95_lpips,max_lpips,mean_dino,median_dino,q90_dino,q95_dino,max_dino,mean_psnr,q05_psnr,mean_ssim,q05_ssim,failure_rate_lpips_gt_0p001,failure_rate_lpips_gt_0p005,failure_rate_lpips_gt_0p01,failure_rate_lpips_gt_0p02,failure_rate_dino_gt_0p001,failure_rate_dino_gt_0p005,failure_rate_dino_gt_0p01,failure_rate_dino_gt_0p02,status
10,sanity,98,98,1,8,0.00032438604648632463,0.00024761383974691853,0.0005006618506740777,0.0007654762914171438,0.0010302907321602106,0.00010001659393310547,6.0230493545532227e-05,0.0001944780349731445,0.0003082990646362303,0.0004221200942993164,59.49544095993042,56.96488361358642,0.9998100996017456,0.9996112018823624,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
11,early,1,2,2,8,0.09747483057435602,0.03381858393549919,0.27618056535720825,0.3021895885467529,0.3281986117362976,0.06006664037704468,0.013611078262329102,0.2034471333026886,0.2126034051179886,0.22175967693328857,29.0238254070282,20.809252548217774,0.9250163659453392,0.722578164935112,1.0,1.0,0.875,0.75,1.0,0.625,0.5,0.375,dangerous
12,early,3,4,2,8,0.04585762764327228,0.015036999247968197,0.12571318596601486,0.14996428862214084,0.1742153912782669,0.04138794541358948,0.0080796480178833,0.12320282459259031,0.16518450975418084,0.20716619491577148,34.69193482398987,28.1489577293396,0.9762635305523872,0.9257014453411102,1.0,0.875,0.5,0.5,0.875,0.625,0.375,0.25,dangerous
13,early,5,6,2,8,0.022178045997861773,0.010710393078625202,0.061970277875661846,0.06668902896344661,0.07140778005123138,0.024296708405017853,0.0058200061321258545,0.07858691811561584,0.09129204452037809,0.10399717092514038,39.0178542137146,33.087566184997556,0.9891297519207001,0.9657950401306152,0.875,0.5,0.5,0.25,0.875,0.5,0.25,0.25,dangerous
14,early,7,8,2,8,0.013134627719409764,0.0034310576738789678,0.03790677823126316,0.04206460583955049,0.04622243344783783,0.01807136833667755,0.002619504928588867,0.05934216976165771,0.07105613946914671,0.08277010917663574,42.767634868621826,36.09249286651611,0.9939505904912949,0.9798936486244202,0.875,0.375,0.375,0.25,0.75,0.375,0.25,0.25,dangerous
15,early,1,4,4,8,0.17052873503416777,0.14065956324338913,0.3503043591976166,0.3562534272670746,0.3622024953365326,0.08854669332504272,0.04168382287025452,0.21378665566444396,0.23995992243289943,0.266133189201355,24.117345333099365,18.257129192352295,0.8941202759742737,0.7337045758962631,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,dangerous
16,early,3,6,4,8,0.11331341718323529,0.06509647145867348,0.26937241554260255,0.2876481175422668,0.30592381954193115,0.06700146198272705,0.025995999574661255,0.1870813190937042,0.20033114254474638,0.21358096599578857,28.262380123138428,22.00562744140625,0.9207084849476814,0.7378065407276153,1.0,1.0,1.0,0.875,1.0,0.875,0.75,0.625,dangerous
17,transition,8,9,2,8,0.0021238414719846332,0.0007151506433729082,0.00478414436802268,0.006300221616402266,0.007816298864781857,0.0027631819248199463,0.0008743405342102051,0.008764940500259399,0.009824731945991514,0.010884523391723633,50.34169864654541,44.58626136779785,0.9991452097892761,0.9972440123558044,0.375,0.125,0.0,0.0,0.5,0.25,0.125,0.0,borderline
18,transition,8,11,4,8,0.010203706100583076,0.006427964894101024,0.023802059330046175,0.02472282042726874,0.02564358152449131,0.011112101376056671,0.003827333450317383,0.03666566014289856,0.038016846776008605,0.03936803340911865,41.59721326828003,37.481852531433105,0.9950760304927826,0.985816016793251,1.0,0.5,0.375,0.25,0.75,0.25,0.25,0.25,dangerous
19,transition,10,11,2,8,0.0014205740271791,0.0004368299705674872,0.0032588332775048898,0.005888354772469025,0.008517876267433167,0.0018822923302650452,0.00032830238342285156,0.004861217737197875,0.008117070794105525,0.011372923851013184,53.84568500518799,47.47027244567871,0.9995148777961731,0.9981688499450684,0.25,0.125,0.0,0.0,0.25,0.125,0.125,0.0,borderline
20,transition,10,13,4,8,0.013937084120698273,0.003226006403565407,0.030852669430896627,0.059175782627426045,0.08749889582395554,0.03184417635202408,0.0020802319049835205,0.07953057885169978,0.15604432523250567,0.23255807161331177,44.03152799606323,36.72809238433838,0.9952075555920601,0.9814190357923508,1.0,0.375,0.125,0.125,0.625,0.25,0.25,0.125,dangerous
21,transition,12,13,2,8,0.0023029764097373118,0.0002533367369323969,0.005318394201458429,0.011062951893836718,0.01680750958621502,0.004591494798660278,0.00021216273307800293,0.01094148159027099,0.023072975873947126,0.03520447015762329,55.677409172058105,46.7068754196167,0.9993513077497482,0.9969913214445114,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,dangerous
22,transition,12,15,4,8,0.013877707708161324,0.002608507522381842,0.031286021694540964,0.06356904190033669,0.09585206210613251,0.030422046780586243,0.0015802979469299316,0.07268995642662045,0.1527105003595351,0.23273104429244995,45.82220506668091,37.321679306030276,0.9955220520496368,0.9803972274065018,0.875,0.125,0.125,0.125,0.5,0.125,0.125,0.125,dangerous
