method,target_rr,split,stage,call_kind,call_kind_name,refresh_count,opportunities,density,refresh_share
raw_oracle,0.5,test,late,1,corrector,3136.0,3136.0,1.0,0.27878033602986935
raw_oracle,0.5,all,early,0,predictor,769.0,3840.0,0.20026041666666666,0.05992363438011377
raw_oracle,0.5,all,early,1,corrector,3816.0,3840.0,0.99375,0.2973583729447518
raw_oracle,0.5,all,middle,0,predictor,86.0,5120.0,0.016796875,0.0067014727655263775
raw_oracle,0.5,all,middle,1,corrector,4322.0,5120.0,0.844140625,0.33678796851866283
raw_oracle,0.5,all,late,0,predictor,256.0,3840.0,0.06666666666666667,0.01994857009272968
raw_oracle,0.5,all,late,1,corrector,3584.0,3584.0,1.0,0.2792799812982155
sea_oracle,0.3,calibration,early,0,predictor,96.0,480.0,0.2,0.10105263157894737
sea_oracle,0.3,calibration,early,1,corrector,416.0,480.0,0.8666666666666667,0.4378947368421053
sea_oracle,0.3,calibration,middle,0,predictor,2.0,640.0,0.003125,0.002105263157894737
sea_oracle,0.3,calibration,middle,1,corrector,220.0,640.0,0.34375,0.23157894736842105
sea_oracle,0.3,calibration,late,0,predictor,36.0,480.0,0.075,0.037894736842105266
sea_oracle,0.3,calibration,late,1,corrector,180.0,448.0,0.4017857142857143,0.18947368421052632
sea_oracle,0.3,test,early,0,predictor,672.0,3360.0,0.2,0.10097670924117205
sea_oracle,0.3,test,early,1,corrector,2912.0,3360.0,0.8666666666666667,0.43756574004507887
