call_index,step,t,call_kind,selected_for_test,valid_count,mean_pis_lpips,mean_pis_dino,mean_pis_psnr,min_pis_lpips,max_pis_lpips,valid_any
48,24,0.31578946113586426,predictor,True,4,1.9523091054907127e-07,2.086162567138672e-07,94.71529388427734,2.422131828438978e-08,4.854809958487749e-07,True
49,24,0.3333333432674408,corrector,False,0,,,,,,False
50,25,0.3333333432674408,predictor,True,4,1.1845479974681439e-07,2.9802322387695312e-08,96.36849212646484,4.5114511237898114e-08,2.107224759129167e-07,True
51,25,0.35135138034820557,corrector,False,0,,,,,,False
52,26,0.35135138034820557,predictor,True,4,8.133349638228538e-08,0.0,97.48641967773438,4.473197279253327e-08,1.4368210088377964e-07,True
53,26,0.36986303329467773,corrector,False,0,,,,,,False
54,27,0.36986303329467773,predictor,True,4,6.297535293242618e-08,4.470348358154297e-08,98.25971984863281,4.5251937308421475e-08,8.29287998271866e-08,True
55,27,0.3888888657093048,corrector,False,0,,,,,,False
56,28,0.3888888657093048,predictor,True,4,5.147665760318887e-08,-1.4901161193847656e-08,98.96179962158203,4.320882140973481e-08,6.427259080510339e-08,True
57,28,0.40845075249671936,corrector,False,0,,,,,,False
58,29,0.40845075249671936,predictor,True,4,4.022103894385509e-08,4.470348358154297e-08,100.1122817993164,1.7184586198482066e-08,5.7047721213621116e-08,True
59,29,0.4285714626312256,corrector,False,0,,,,,,False
60,30,0.4285714626312256,predictor,True,4,3.461042652475044e-08,1.4901161193847656e-08,101.31219482421875,3.6674061565378224e-09,4.8945342001616154e-08,True
