call_index,step,t,call_kind,selected_for_test,valid_count,mean_pis_lpips,mean_pis_dino,mean_pis_psnr,min_pis_lpips,max_pis_lpips,valid_any
26,13,0.14942528307437897,predictor,True,8,7.114664413165883e-07,7.897615432739258e-07,89.0464096069336,2.357809769648611e-08,3.824588020506781e-06,True
27,13,0.1627907007932663,corrector,True,8,6.846308679087088e-05,9.392201900482178e-05,68.95909881591797,2.676296844583703e-06,0.00042814266635105014,True
28,14,0.1627907007932663,predictor,True,8,8.538961537851719e-07,1.0207295417785645e-06,89.73542785644531,1.137319216582e-08,5.02803686686093e-06,True
29,14,0.1764705777168274,corrector,True,8,6.33288364042528e-05,8.939206600189209e-05,69.74604797363281,2.9729380912613124e-06,0.0004042326472699642,True
30,15,0.1764705777168274,predictor,True,8,8.634532377982396e-07,1.1026859283447266e-06,90.16002655029297,2.5541330828104947e-08,5.304164460540051e-06,True
31,15,0.1904761791229248,corrector,True,8,4.68526704935357e-05,6.411224603652954e-05,70.17796325683594,4.592006007442251e-06,0.0002801375521812588,True
32,16,0.1904761791229248,predictor,True,8,7.100386483216425e-07,9.015202522277832e-07,90.03623962402344,2.380147812175437e-08,4.068293492309749e-06,True
33,16,0.20481927692890167,corrector,True,8,3.783760985243134e-05,4.4248998165130615e-05,70.34030151367188,4.219426955387462e-06,0.00018348013691138476,True
34,17,0.20481927692890167,predictor,True,8,6.721780891894014e-07,6.705522537231445e-07,89.92063903808594,2.0709169490373824e-08,2.77836988971103e-06,True
35,17,0.2195121943950653,corrector,True,8,3.155497324769385e-05,3.014504909515381e-05,70.70420837402344,2.8729311907227384e-06,0.00011337222531437874,True
36,18,0.2195121943950653,predictor,True,8,5.388159252106561e-07,3.8743019104003906e-07,90.49520111083984,1.8154228342837087e-08,1.6161163785000099e-06,True
